Durum Kodu,URL
"Hata/Selenium: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=139.0.7258.138)
Stacktrace:
	GetHandleVerifier [0x0x29ba83+63395]
	GetHandleVerifier [0x0x29bac4+63460]
	(No symbol) [0x0xe2113]
	(No symbol) [0x0xc0fb9]
	(No symbol) [0x0x155ace]
	(No symbol) [0x0x170099]
	(No symbol) [0x0x14f1a6]
	(No symbol) [0x0x11e7b2]
	(No symbol) [0x0x11f654]
	GetHandleVerifier [0x0x518883+2672035]
	GetHandleVerifier [0x0x513cba+2652634]
	GetHandleVerifier [0x0x2c2bca+223466]
	GetHandleVerifier [0x0x2b2cb8+158168]
	GetHandleVerifier [0x0x2b978d+185517]
	GetHandleVerifier [0x0x2a3b78+96408]
	GetHandleVerifier [0x0x2a3d02+96802]
	GetHandleVerifier [0x0x28e90a+9770]
	BaseThreadInitThunk [0x0x752bfcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x771282ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x7712827e+238]
	(No symbol) [0x0]
",https://www.kariyer.net/is-ilani/yatas-grup-iletisim-merkezi-musteri-temsilcisi-kayseri-4149396
"Hata/Selenium: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=139.0.7258.138)
Stacktrace:
	GetHandleVerifier [0x0x29ba83+63395]
	GetHandleVerifier [0x0x29bac4+63460]
	(No symbol) [0x0xe2113]
	(No symbol) [0x0xc0fb9]
	(No symbol) [0x0x155ace]
	(No symbol) [0x0x170099]
	(No symbol) [0x0x14f1a6]
	(No symbol) [0x0x11e7b2]
	(No symbol) [0x0x11f654]
	GetHandleVerifier [0x0x518883+2672035]
	GetHandleVerifier [0x0x513cba+2652634]
	GetHandleVerifier [0x0x2c2bca+223466]
	GetHandleVerifier [0x0x2b2cb8+158168]
	GetHandleVerifier [0x0x2b978d+185517]
	GetHandleVerifier [0x0x2a3b78+96408]
	GetHandleVerifier [0x0x2a3d02+96802]
	GetHandleVerifier [0x0x28e90a+9770]
	BaseThreadInitThunk [0x0x752bfcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x771282ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x7712827e+238]
	(No symbol) [0x0]
",https://www.kariyer.net/is-ilani/yatas-grup-ticari-kalite-uzmani-inegol-4207964
"Hata/Selenium: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=139.0.7258.138)
Stacktrace:
	GetHandleVerifier [0x0x29ba83+63395]
	GetHandleVerifier [0x0x29bac4+63460]
	(No symbol) [0x0xe2113]
	(No symbol) [0x0xc0fb9]
	(No symbol) [0x0x155ace]
	(No symbol) [0x0x170099]
	(No symbol) [0x0x14f1a6]
	(No symbol) [0x0x11e7b2]
	(No symbol) [0x0x11f654]
	GetHandleVerifier [0x0x518883+2672035]
	GetHandleVerifier [0x0x513cba+2652634]
	GetHandleVerifier [0x0x2c2bca+223466]
	GetHandleVerifier [0x0x2b2cb8+158168]
	GetHandleVerifier [0x0x2b978d+185517]
	GetHandleVerifier [0x0x2a3b78+96408]
	GetHandleVerifier [0x0x2a3d02+96802]
	GetHandleVerifier [0x0x28e90a+9770]
	BaseThreadInitThunk [0x0x752bfcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x771282ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x7712827e+238]
	(No symbol) [0x0]
",https://www.kariyer.net/is-ilani/kalkinma-yatirim-bankasi-satin-alma-uzmani-4225405
"Hata/Selenium: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=139.0.7258.138)
Stacktrace:
	GetHandleVerifier [0x0x29ba83+63395]
	GetHandleVerifier [0x0x29bac4+63460]
	(No symbol) [0x0xe2113]
	(No symbol) [0x0xc0fb9]
	(No symbol) [0x0x155ace]
	(No symbol) [0x0x170099]
	(No symbol) [0x0x14f1a6]
	(No symbol) [0x0x11e7b2]
	(No symbol) [0x0x11f654]
	GetHandleVerifier [0x0x518883+2672035]
	GetHandleVerifier [0x0x513cba+2652634]
	GetHandleVerifier [0x0x2c2bca+223466]
	GetHandleVerifier [0x0x2b2cb8+158168]
	GetHandleVerifier [0x0x2b978d+185517]
	GetHandleVerifier [0x0x2a3b78+96408]
	GetHandleVerifier [0x0x2a3d02+96802]
	GetHandleVerifier [0x0x28e90a+9770]
	BaseThreadInitThunk [0x0x752bfcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x771282ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x7712827e+238]
	(No symbol) [0x0]
",https://www.kariyer.net/is-ilani/bench-turizm-saglik-hizmetleri-medikal-urunler-dis-patient-consultant-hair-transplantation-4109831
"Hata/Selenium: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=139.0.7258.138)
Stacktrace:
	GetHandleVerifier [0x0x29ba83+63395]
	GetHandleVerifier [0x0x29bac4+63460]
	(No symbol) [0x0xe2113]
	(No symbol) [0x0xc0fb9]
	(No symbol) [0x0x155ace]
	(No symbol) [0x0x170099]
	(No symbol) [0x0x14f1a6]
	(No symbol) [0x0x11e7b2]
	(No symbol) [0x0x11f654]
	GetHandleVerifier [0x0x518883+2672035]
	GetHandleVerifier [0x0x513cba+2652634]
	GetHandleVerifier [0x0x2c2bca+223466]
	GetHandleVerifier [0x0x2b2cb8+158168]
	GetHandleVerifier [0x0x2b978d+185517]
	GetHandleVerifier [0x0x2a3b78+96408]
	GetHandleVerifier [0x0x2a3d02+96802]
	GetHandleVerifier [0x0x28e90a+9770]
	BaseThreadInitThunk [0x0x752bfcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x771282ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x7712827e+238]
	(No symbol) [0x0]
",https://www.kariyer.net/is-ilani/omreon-bilisim-full-stack-muhendisi-4157526
"Hata/Selenium: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=139.0.7258.138)
Stacktrace:
	GetHandleVerifier [0x0x29ba83+63395]
	GetHandleVerifier [0x0x29bac4+63460]
	(No symbol) [0x0xe2113]
	(No symbol) [0x0xc0fb9]
	(No symbol) [0x0x155ace]
	(No symbol) [0x0x170099]
	(No symbol) [0x0x14f1a6]
	(No symbol) [0x0x11e7b2]
	(No symbol) [0x0x11f654]
	GetHandleVerifier [0x0x518883+2672035]
	GetHandleVerifier [0x0x513cba+2652634]
	GetHandleVerifier [0x0x2c2bca+223466]
	GetHandleVerifier [0x0x2b2cb8+158168]
	GetHandleVerifier [0x0x2b978d+185517]
	GetHandleVerifier [0x0x2a3b78+96408]
	GetHandleVerifier [0x0x2a3d02+96802]
	GetHandleVerifier [0x0x28e90a+9770]
	BaseThreadInitThunk [0x0x752bfcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x771282ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x7712827e+238]
	(No symbol) [0x0]
",https://www.kariyer.net/is-ilani/mts-medikal-tek-sist-ve-sag-hizm-san-tic-ltd-elektronik-kart-tamir-teknisyeni-4217173
"Hata/Selenium: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=139.0.7258.138)
Stacktrace:
	GetHandleVerifier [0x0x29ba83+63395]
	GetHandleVerifier [0x0x29bac4+63460]
	(No symbol) [0x0xe2113]
	(No symbol) [0x0xc0fb9]
	(No symbol) [0x0x155ace]
	(No symbol) [0x0x170099]
	(No symbol) [0x0x14f1a6]
	(No symbol) [0x0x11e7b2]
	(No symbol) [0x0x11f654]
	GetHandleVerifier [0x0x518883+2672035]
	GetHandleVerifier [0x0x513cba+2652634]
	GetHandleVerifier [0x0x2c2bca+223466]
	GetHandleVerifier [0x0x2b2cb8+158168]
	GetHandleVerifier [0x0x2b978d+185517]
	GetHandleVerifier [0x0x2a3b78+96408]
	GetHandleVerifier [0x0x2a3d02+96802]
	GetHandleVerifier [0x0x28e90a+9770]
	BaseThreadInitThunk [0x0x752bfcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x771282ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x7712827e+238]
	(No symbol) [0x0]
",https://www.kariyer.net/is-ilani/ersan-diamond-motorlu-kurye-4204250
"Hata/Selenium: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=139.0.7258.138)
Stacktrace:
	GetHandleVerifier [0x0x29ba83+63395]
	GetHandleVerifier [0x0x29bac4+63460]
	(No symbol) [0x0xe2113]
	(No symbol) [0x0xc0fb9]
	(No symbol) [0x0x155ace]
	(No symbol) [0x0x170099]
	(No symbol) [0x0x14f1a6]
	(No symbol) [0x0x11e7b2]
	(No symbol) [0x0x11f654]
	GetHandleVerifier [0x0x518883+2672035]
	GetHandleVerifier [0x0x513cba+2652634]
	GetHandleVerifier [0x0x2c2bca+223466]
	GetHandleVerifier [0x0x2b2cb8+158168]
	GetHandleVerifier [0x0x2b978d+185517]
	GetHandleVerifier [0x0x2a3b78+96408]
	GetHandleVerifier [0x0x2a3d02+96802]
	GetHandleVerifier [0x0x28e90a+9770]
	BaseThreadInitThunk [0x0x752bfcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x771282ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x7712827e+238]
	(No symbol) [0x0]
",https://www.kariyer.net/is-ilani/mersin-ozkaymak-a-s-on-muhasebe-elemani-4214063
"Hata/Selenium: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=139.0.7258.138)
Stacktrace:
	GetHandleVerifier [0x0x29ba83+63395]
	GetHandleVerifier [0x0x29bac4+63460]
	(No symbol) [0x0xe2113]
	(No symbol) [0x0xc0fb9]
	(No symbol) [0x0x155ace]
	(No symbol) [0x0x170099]
	(No symbol) [0x0x14f1a6]
	(No symbol) [0x0x11e7b2]
	(No symbol) [0x0x11f654]
	GetHandleVerifier [0x0x518883+2672035]
	GetHandleVerifier [0x0x513cba+2652634]
	GetHandleVerifier [0x0x2c2bca+223466]
	GetHandleVerifier [0x0x2b2cb8+158168]
	GetHandleVerifier [0x0x2b978d+185517]
	GetHandleVerifier [0x0x2a3b78+96408]
	GetHandleVerifier [0x0x2a3d02+96802]
	GetHandleVerifier [0x0x28e90a+9770]
	BaseThreadInitThunk [0x0x752bfcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x771282ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x7712827e+238]
	(No symbol) [0x0]
",https://www.kariyer.net/is-ilani/ozel-fantazi-iplik-tekstil-sanayi-ve-ticaret-ltd-yetistirilmek-uzere-endustri-muhendisi-4012475
"Hata/Selenium: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=139.0.7258.138)
Stacktrace:
	GetHandleVerifier [0x0x29ba83+63395]
	GetHandleVerifier [0x0x29bac4+63460]
	(No symbol) [0x0xe2113]
	(No symbol) [0x0xc0fb9]
	(No symbol) [0x0x155ace]
	(No symbol) [0x0x170099]
	(No symbol) [0x0x14f1a6]
	(No symbol) [0x0x11e7b2]
	(No symbol) [0x0x11f654]
	GetHandleVerifier [0x0x518883+2672035]
	GetHandleVerifier [0x0x513cba+2652634]
	GetHandleVerifier [0x0x2c2bca+223466]
	GetHandleVerifier [0x0x2b2cb8+158168]
	GetHandleVerifier [0x0x2b978d+185517]
	GetHandleVerifier [0x0x2a3b78+96408]
	GetHandleVerifier [0x0x2a3d02+96802]
	GetHandleVerifier [0x0x28e90a+9770]
	BaseThreadInitThunk [0x0x752bfcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x771282ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x7712827e+238]
	(No symbol) [0x0]
",https://www.kariyer.net/is-ilani/ozel-fantazi-iplik-tekstil-sanayi-ve-ticaret-ltd-kalite-kontrol-sorumlusu-4206397
